status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
75932763901_10155164731453902,Farrah Abraham just spoke out about her daughter's sexy shoots — and it has fans EVEN MORE worried about Sophia's well-being —> http://bit.ly/2aBjXbz,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164731453902/?type=3,2016-07-22 23:30:00,20,1,0,19,1,0,0,0,0
75932763901_10155164708028902,This new photo of Prince George is causing MAJOR controversy — and you'll be SHOCKED when you find out the surprising reason why (via Closer Weekly) —> http://bit.ly/29ZTjgj,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164708028902/?type=3,2016-07-22 23:00:00,110,2,1,99,10,1,0,0,0
75932763901_10155157417408902,This pic of Khloé Kardashian has fans everywhere freaking out!! Just wait till you see the bottom half! –> http://bit.ly/2abbsHL,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155157417408902/?type=3,2016-07-22 22:30:00,42,3,4,38,4,0,0,0,0
75932763901_10155164706258902,"If you think Blake Lively's engagement ring looks expensive, JUST WAIT until you see who once sported a 33-carat rock worth $8 million (via Closer Weekly) —> http://bit.ly/29QTFEZ",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164706258902/?type=3,2016-07-22 22:00:00,59,0,1,57,0,2,0,0,0
75932763901_10155164724103902,TOO CUTE! Click here to find out who posted this adorable shot of his baby boy —> http://bit.ly/2a2iJHz,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164724103902/?type=3,2016-07-22 21:30:01,51,1,1,45,5,0,1,0,0
75932763901_10155163913328902,PLASTIC SURGERY?! This is what you remember Jersey Shore star Mike 'The Situation' looking like – but today he looks completely different! –> http://bit.ly/29TAGoC,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163913328902/?type=3,2016-07-22 21:00:00,40,1,2,39,1,0,0,0,0
75932763901_10155164715908902,"CONGRATS! After admitting Kanye has been ""begging"" for another baby, Kim Kardashian West reveals incredible news —> http://bit.ly/2a2SvlB",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164715908902/?type=3,2016-07-22 20:30:00,160,10,7,156,4,0,0,0,0
75932763901_10155163873713902,"If you think Kim Kardashian West and Kylie Jenner look alike in this pic, just wait till you see their recent selfie! –> http://bit.ly/2am0hMm",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163873713902/?type=3,2016-07-22 20:00:01,180,7,2,166,12,2,0,0,0
75932763901_10155164688918902,"Less than a week after the drama with Taylor Swift, Kanye West finds himself in MAJOR heat over his newest track — and when you find out who the lyrics are about, you'll understand why! —> http://bit.ly/29ZWi8Q",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164688918902/?type=3,2016-07-22 19:30:00,37,2,1,37,0,0,0,0,0
75932763901_10155164713198902,CONGRATS! We bet Nicole Richie is over the moon after making this announcement! —> http://bit.ly/29Zer6q,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164713198902/?type=3,2016-07-22 19:30:00,116,2,3,114,2,0,0,0,0
75932763901_10155163814883902,OMG! See who nearly exposed it ALL on a very busy road!! –> http://bit.ly/2alXxye,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163814883902/?type=3,2016-07-22 19:00:00,128,9,4,113,9,4,1,0,1
75932763901_10155157009748902,CONGRATS!! They are pregnant with baby No. 2!!! Click here to find out who —> http://bit.ly/2aab4pN,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155157009748902/?type=3,2016-07-22 18:30:01,42,1,2,42,0,0,0,0,0
75932763901_10155163727123902,AWKWARD! This celebrity couple was caught in a MAJOR fight! –> http://bit.ly/2alTnGU,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163727123902/?type=3,2016-07-22 18:00:00,51,4,1,51,0,0,0,0,0
75932763901_10155164297993902,Send your birthday wishes! 🎉,"Happy Birthday, Selena Gomez — See Her Hottest Instagram Photos!",link,http://www.intouchweekly.com/posts/selena-gomez-instagram-photos-108757/photos/selena-gomez-1-175439,2016-07-22 17:30:00,402,27,17,377,24,2,0,0,0
75932763901_10155164654703902,"""He's as wide as he is tall."" LOL! See which famous father couldn't help but tease his adorable baby boy —> http://bit.ly/2a2iJHz",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164654703902/?type=3,2016-07-22 16:30:00,103,2,0,96,6,0,1,0,0
75932763901_10155164512508902,FEUD ALERT! Demi Lovato just called out another Hollywood star — and it's the last person fans expected! —> http://bit.ly/29Zg7cg,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164512508902/?type=3,2016-07-22 16:00:00,253,5,4,249,4,0,0,0,0
75932763901_10155164386043902,"""I shall call him...Mini Me."" Find out which famous daddy shared this snapshot of his newborn son! —> http://bit.ly/29U2F7T",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164386043902/?type=3,2016-07-22 15:30:00,138,5,1,133,5,0,0,0,0
75932763901_10155164135428902,"After her son's scary accident, our thoughts are with this actress —> http://bit.ly/2a0gYYf",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164135428902/?type=3,2016-07-22 15:00:00,55,2,2,55,0,0,0,0,0
75932763901_10155164307908902,"Farrah Abraham's excuse for her seven-year-old daughter's controversial modeling shots has landed her in EVEN MORE hot water – and when you see what she said,  you'll understand the outrage —> http://bit.ly/2aBjXbz",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164307908902/?type=3,2016-07-22 14:30:00,96,9,1,88,6,1,0,0,1
75932763901_10155164023573902,Congrats? UNEXPECTED baby news for Khloé Kardashian and Lamar Odom that has left her family in utter shock! (via Life & Style Weekly) —> http://bit.ly/2a5ITud,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164023573902/?type=3,2016-07-22 14:00:01,818,100,37,705,36,60,13,3,1
75932763901_10155164201223902,WHOA! The Teen Mom 2 stars are in BIG financial trouble — and fans are wondering if the future of the series is at stake! —> http://bit.ly/2amcT5Y,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164201223902/?type=3,2016-07-22 13:28:20,56,6,3,56,0,0,0,0,0
75932763901_10155164133498902,Kate Middleton and Prince William just shared four new photos of Prince George in honor of his 3rd birthday — wait until you see how grown up he looks! (via Closer Weekly) —> http://bit.ly/29QlblL,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164133498902/?type=3,2016-07-22 13:02:00,298,3,2,289,9,0,0,0,0
75932763901_10155164088983902,"CRINGE! Khloé Kardashian's camel toe is out of control in this picture — and when you see the bottom half, you'll understand why fans can't look away! —> http://bit.ly/2a1FATG",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155164088983902/?type=3,2016-07-22 12:30:00,290,17,5,276,10,1,3,0,0
75932763901_10155160318303902,Kylie Jenner TRIED to take a sexy photo – but did she forget to clean up a VERY embarrassing item in the background? Click to see! (via Life & Style Weekly) –> http://bit.ly/1hUUmML,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155160318303902/?type=3,2016-07-22 12:00:00,431,40,9,418,8,0,4,0,1
75932763901_10155163936163902,CONGRATS! We bet Nicole Richie is over the moon after making this announcement! —> http://bit.ly/29Zer6q,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163936163902/?type=3,2016-07-22 11:30:00,196,7,5,189,6,1,0,0,0
75932763901_10155163881503902,"CONGRATS! After admitting Kanye has been ""begging"" for another baby, Kim Kardashian West reveals incredible news —> http://bit.ly/2a2SvlB",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163881503902/?type=3,2016-07-22 10:59:51,401,24,9,388,9,1,3,0,0
75932763901_10155163819373902,CONGRATS! This famous Hollywood star just announced the birth of his SEVENTH child! Click to find out who —> http://bit.ly/29YGezM,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163819373902/?type=3,2016-07-22 10:33:59,8,3,0,8,0,0,0,0,0
75932763901_10155163766718902,"Welcome to the world, baby Levi! Click here to reveal his famous parents —> http://bit.ly/2aAWw1X",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155163766718902/?type=3,2016-07-22 10:06:46,158,4,2,148,10,0,0,0,0
75932763901_10155161525353902,"IT'S OVER! Less than a year after tying the knot, this star is divorcing her husband —> http://bit.ly/2ajqNWj",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161525353902/?type=3,2016-07-22 09:00:00,16,2,1,15,1,0,0,0,0
75932763901_10155160975343902,She's following in Kim Kardashian West's footsteps – and some say she's doing it BETTER! –> http://bit.ly/29jZwAO,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155160975343902/?type=3,2016-07-22 08:30:00,493,51,9,465,14,11,2,0,1
75932763901_10155161502013902,BABY NEWS! Click here to see Chrissy Teigen's shocking announcement —> http://bit.ly/2a31OoI,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161502013902/?type=3,2016-07-22 07:15:01,1067,18,9,1020,43,4,0,0,0
75932763901_10155161486473902,Alyson Stoner (aka Sarah Baker from 'Cheaper By The Dozen') is all grown up — and looks almost unrecognizable today! See her now (via Closer Weekly) —> http://bit.ly/1sN0j3N,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161486473902/?type=3,2016-07-22 06:45:00,68,2,0,67,1,0,0,0,0
75932763901_10155161515873902,YAY!!! Coco just shared some EXCITING news on Instagram — read the message that has Ice-T and baby Chanel over the moon: http://bit.ly/29WzP8e,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161515873902/?type=3,2016-07-22 06:00:00,1633,15,21,1546,80,2,5,0,0
75932763901_10155161482738902,PREGNANT! Find out who just surprisingly revealed she's expecting Baby No. 2 (via Closer Weekly) —> http://bit.ly/1t5ltu5,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161482738902/?type=3,2016-07-22 05:30:00,31,3,1,28,3,0,0,0,0
75932763901_10155161597263902,CONGRATS! Exciting news for Jennifer Aniston (via Life & Style Weekly) —> http://bit.ly/29ZSijm,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161597263902/?type=3,2016-07-22 04:45:01,372,15,5,359,11,2,0,0,0
75932763901_10155161479333902,"Courteney Cox just stepped out with her daughter, Coco — and people are freaking out over how grown up and gorgeous she is! See the pics (via Closer Weekly) —> http://bit.ly/1rV3VRo",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161479333902/?type=3,2016-07-22 04:00:00,119,2,2,115,4,0,0,0,0
75932763901_10155161516778902,"This is Kelly Clarkson's daughter, River Rose, over a year ago. Now, she looks SO grown up! See the new pic (via Closer Weekly) —> http://bit.ly/29WlAAH",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161516778902/?type=3,2016-07-22 03:30:00,436,8,5,409,24,1,2,0,0
75932763901_10155161478393902,Céline Dion's twins Eddy and Nelson Angelil are getting SO big! Wait until you see them today (via Closer Weekly) —> http://bit.ly/1WuFxyH,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161478393902/?type=3,2016-07-22 03:00:00,236,2,3,227,7,0,0,2,0
75932763901_10155161591798902,CONGRATS! Click here to find out who tied the knot (via Life & Style Weekly) —> http://bit.ly/2a3U1XG,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161591798902/?type=3,2016-07-22 02:15:00,411,6,7,396,13,2,0,0,0
75932763901_10155161512583902,Sylvester Stallone's eldest daughter Sophia doesn't look like this anymore! See how stunning she is today at age 19 (via Closer Weekly) —> http://bit.ly/29X5LgO,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161512583902/?type=3,2016-07-22 01:30:00,293,2,7,277,14,1,0,1,0
75932763901_10155161585623902,"It's been seven years since Rob Kardashian and Adrienne Bailon ended their relationship — and today, the former Cheetah Girl is TOTALLY UNRECOGNIZABLE! See for yourself (via Life & Style Weekly) —> http://bit.ly/29Yh4PN",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161585623902/?type=3,2016-07-22 01:01:00,701,31,15,663,25,11,1,1,0
75932763901_10155161539608902,"She was a HUGE TV star when she was young, but we bet you wouldn't even recognize her if you saw her today! —> http://bit.ly/29oMIFO",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161539608902/?type=3,2016-07-22 00:30:00,18,0,1,16,2,0,0,0,0
75932763901_10155161505658902,IT'S A GIRL! See who just welcomed a daughter named Lula Rose (via Closer Weekly) —> http://bit.ly/2a2AUOk,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161505658902/?type=3,2016-07-22 00:00:00,829,21,13,776,53,0,0,0,0
75932763901_10155161469328902,"Chelsea Houska will be FURIOUS when she sees what Adam Lind was caught doing with their daughter, Aubree —> http://bit.ly/29W5pmH",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161469328902/?type=3,2016-07-21 23:30:00,37,2,1,37,0,0,0,0,0
75932763901_10155160951813902,"""I'm good. Me and my vibrator are very happy."" LOL! See which single lady said THIS about her sex life! –> http://bit.ly/2a3sPZb",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155160951813902/?type=3,2016-07-21 23:00:00,69,3,1,68,1,0,0,0,0
75932763901_10155161502113902,HUGE NEWS for Zoe Saldana and her family! Get the exciting details (via Closer Weekly) —> http://bit.ly/29REXZW,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161502113902/?type=3,2016-07-21 22:30:00,554,2,6,529,25,0,0,0,0
75932763901_10155160917213902,WTF?! Why would this famous mom pull down her dress?! –> http://bit.ly/1TdcqQl,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155160917213902/?type=3,2016-07-21 22:00:00,54,5,1,50,2,1,1,0,0
75932763901_10155161463073902,SECRETLY MARRIED?! Click here to see which Teen Mom 2 star has a BIG reason to celebrate —> http://bit.ly/29YQOFT,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161463073902/?type=3,2016-07-21 21:30:00,53,3,2,52,1,0,0,0,0
75932763901_10155160996423902,"Kim Kardashian West CAUGHT wearing the exact same outfit as another star – when you see who, you'll understand why it' so AWKWARD! –> http://bit.ly/1rpUyc0",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155160996423902/?type=3,2016-07-21 21:00:00,199,18,4,193,6,0,0,0,0
75932763901_10155161548993902,BACK TOGETHER?! Click here to find out who —> http://bit.ly/2ayLwlI,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161548993902/?type=3,2016-07-21 20:30:00,90,4,2,87,2,1,0,0,0
75932763901_10155161457123902,Our hearts are breaking for Robin Williams' daughter on what would've been his 65th birthday — See her emotional message —> http://bit.ly/2aggcst,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161457123902/?type=3,2016-07-21 20:00:01,113,4,3,103,2,0,0,8,0
75932763901_10155161436033902,Teen Mom 2 star Kailyn Lowry doesn't look like THIS anymore! See her transformation that got EVERYONE talking —> http://bit.ly/2agdHGQ,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155161436033902/?type=3,2016-07-21 19:30:00,408,7,5,394,9,5,0,0,0
